value_en	description_en	codesystem	code	description_code
SureSelect RNA 3-5.9Mb, 480 by Agilent Technologies	SureSelect RNA 3-5.9Mb, 480 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT314	SureSelect RNA 3-5.9Mb, 480 by Agilent Technologies
MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific	MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT94	MagJET NGS Cleanup and Size Selection Kit (10 x 96 preps) by Thermo Fisher Scientific
ClearSeq Comprehensive Cancer Plus, 96 a by Agilent Technologies	ClearSeq Comprehensive Cancer Plus, 96 a by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT601	ClearSeq Comprehensive Cancer Plus, 96 a by Agilent Technologies
SSel XT HS 1-16 + 1-499 kb, 16rxn by Agilent Technologies	SSel XT HS 1-16 + 1-499 kb, 16rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT353	SSel XT HS 1-16 + 1-499 kb, 16rxn by Agilent Technologies
SureSelect XT Reagent kit, HSQ, 480 by Agilent Technologies	SureSelect XT Reagent kit, HSQ, 480 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT266	SureSelect XT Reagent kit, HSQ, 480 by Agilent Technologies
SSel XT HS 96 + 6-11.9 Mb, 96rxn by Agilent Technologies	SSel XT HS 96 + 6-11.9 Mb, 96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT376	SSel XT HS 96 + 6-11.9 Mb, 96rxn by Agilent Technologies
SSEL XT CRE V2 Plus 1, 96 rxn by Agilent Technologies	SSEL XT CRE V2 Plus 1, 96 rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT517	SSEL XT CRE V2 Plus 1, 96 rxn by Agilent Technologies
SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies	SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT132	SureSelectXT2 Custom6-11.9Mb,480,Auto,RO by Agilent Technologies
SSEL XT Focused Exome Plus, 96rxn by Agilent Technologies	SSEL XT Focused Exome Plus, 96rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT529	SSEL XT Focused Exome Plus, 96rxn by Agilent Technologies
SSELXT2 Human All Exon V6+ COSMIC,96auto by Agilent Technologies	SSELXT2 Human All Exon V6+ COSMIC,96auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT441	SSELXT2 Human All Exon V6+ COSMIC,96auto by Agilent Technologies
SSELXT HS 17-32 + V7 Plus 2, 16 rxn by Agilent Technologies	SSELXT HS 17-32 + V7 Plus 2, 16 rxn by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT451	SSELXT HS 17-32 + V7 Plus 2, 16 rxn by Agilent Technologies
OneSeq 1Mb CNV Backbone+6-11.9Mb, 16 by Agilent Technologies	OneSeq 1Mb CNV Backbone+6-11.9Mb, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT547	OneSeq 1Mb CNV Backbone+6-11.9Mb, 16 by Agilent Technologies
SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies	SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT157	SureSelectXT2 Custom 12-24Mb,96,Auto,RO by Agilent Technologies
ChIP-seq Kit For Histones (High Sensitivity) by BosterBio	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT6	ChIP-seq Kit For Histones (High Sensitivity) by BosterBio
SureSelectXT Custom 12-24Mb, 480, Auto by Agilent Technologies	SureSelectXT Custom 12-24Mb, 480, Auto by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT234	SureSelectXT Custom 12-24Mb, 480, Auto by Agilent Technologies
SureSelectXT Mouse All Exon, 16 by Agilent Technologies	SureSelectXT Mouse All Exon, 16 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT182	SureSelectXT Mouse All Exon, 16 by Agilent Technologies
ClearSeq Cardiomyopathy, ILM by Agilent Technologies	ClearSeq Cardiomyopathy, ILM by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT600	ClearSeq Cardiomyopathy, ILM by Agilent Technologies
SureSelectXT HumanAllExon V4, 96 by Agilent Technologies	SureSelectXT HumanAllExon V4, 96 by Agilent Technologies sourced from https://www.biocompare.com, accessed May 2020.	FG	KIT231	SureSelectXT HumanAllExon V4, 96 by Agilent Technologies
