value_en	description_en	codesystem	code	description_code
cervical air sac	cervical air sac	UBERON	0009064	cervical air sac
auricular feather	auricular feather	UBERON	0034930	auricular feather
disconnected anatomical group	disconnected anatomical group	UBERON	0034923	disconnected anatomical group
lateral spinal nucleus	lateral spinal nucleus	UBERON	0035024	lateral spinal nucleus
disk of temporomandibular joint	disk of temporomandibular joint	UBERON	0011319	disk of temporomandibular joint
vasculature of retina	vasculature of retina	UBERON	0004864	vasculature of retina
cerebellar nuclear complex	cerebellar nuclear complex	UBERON	0002130	cerebellar nuclear complex
epiphysis of first metatarsal bone	epiphysis of first metatarsal bone	UBERON	0004395	epiphysis of first metatarsal bone
dorsal supraoptic decussation	dorsal supraoptic decussation	UBERON	0002697	dorsal supraoptic decussation
ophthalmotemporal branch of external ophthalmic artery	ophthalmotemporal branch of external ophthalmic artery	UBERON	0015158	ophthalmotemporal branch of external ophthalmic artery
oral part of ventral posterolateral nucleus	oral part of ventral posterolateral nucleus	UBERON	0003019	oral part of ventral posterolateral nucleus
epithelium of submandibular gland	epithelium of submandibular gland	UBERON	0003359	epithelium of submandibular gland
thymoid	thymoid	UBERON	0009116	thymoid
diaphysis of femur	diaphysis of femur	UBERON	0006862	diaphysis of femur
anal erector	anal erector	UBERON	2000617	anal erector
layer of muscle tissue	layer of muscle tissue	UBERON	0018260	layer of muscle tissue
carbon dioxide in respiratory system	carbon dioxide in respiratory system	UBERON	0034948	carbon dioxide in respiratory system
posterior neural keel	posterior neural keel	UBERON	2007023	posterior neural keel
thoracic segment blood vessel	thoracic segment blood vessel	UBERON	0003834	thoracic segment blood vessel
paraterminal gyrus	paraterminal gyrus	UBERON	0002603	paraterminal gyrus
Ongur, Price, and Ferry (2003) area 24	Ongur, Price, and Ferry (2003) area 24	UBERON	0028422	Ongur, Price, and Ferry (2003) area 24
dorsal fin distal radial element 2	dorsal fin distal radial element 2	UBERON	2105373	dorsal fin distal radial element 2
Ongur, Price, and Ferry (2003) area 25	Ongur, Price, and Ferry (2003) area 25	UBERON	0028423	Ongur, Price, and Ferry (2003) area 25
dorsal fin distal radial element 3	dorsal fin distal radial element 3	UBERON	2105374	dorsal fin distal radial element 3
periamygdaloid area	periamygdaloid area	UBERON	0002656	periamygdaloid area
immaterial anatomical entity	immaterial anatomical entity	UBERON	0000466	immaterial anatomical entity
lingual tonsil	lingual tonsil	UBERON	0007250	lingual tonsil
dorsal fin distal radial element 1	dorsal fin distal radial element 1	UBERON	2105372	dorsal fin distal radial element 1
lobar bronchus of left lung lower lobe	lobar bronchus of left lung lower lobe	UBERON	0012066	lobar bronchus of left lung lower lobe
gracile fasciculus	gracile fasciculus	UBERON	0005821	gracile fasciculus
abdominal external oblique muscle	abdominal external oblique muscle	UBERON	0005442	abdominal external oblique muscle
lateral septal complex	lateral septal complex	UBERON	0007628	lateral septal complex
lateral ethmoid wing	lateral ethmoid wing	UBERON	2001616	lateral ethmoid wing
tooth 1MD	tooth 1MD	UBERON	2001146	tooth 1MD
subclavian artery	subclavian artery	UBERON	0001533	subclavian artery
internal rim of coracoid foramen	internal rim of coracoid foramen	UBERON	4200206	internal rim of coracoid foramen
pyloric sphincter	pyloric sphincter	UBERON	0001202	pyloric sphincter
cerebellum vermis lobule IV	cerebellum vermis lobule IV	UBERON	0004077	cerebellum vermis lobule IV
connective tissue of prostate gland	connective tissue of prostate gland	UBERON	0015130	connective tissue of prostate gland
cerebellum vermis lobule IX	cerebellum vermis lobule IX	UBERON	0004078	cerebellum vermis lobule IX
anterior lateral mesoderm	anterior lateral mesoderm	UBERON	2005039	anterior lateral mesoderm
posterior part of tongue	posterior part of tongue	UBERON	0010033	posterior part of tongue
lateral wall of nasopharynx	lateral wall of nasopharynx	UBERON	0035383	lateral wall of nasopharynx
ansiform lobule	ansiform lobule	UBERON	0005348	ansiform lobule
dense regular elastic tissue	dense regular elastic tissue	UBERON	0015764	dense regular elastic tissue
condyle of tibia	condyle of tibia	UBERON	0009989	condyle of tibia
mesenchyme pectoral fin	mesenchyme pectoral fin	UBERON	0003934	mesenchyme pectoral fin
presumptive atrium primitive heart tube	presumptive atrium primitive heart tube	UBERON	2002229	presumptive atrium primitive heart tube
urothelium	urothelium	UBERON	0000365	urothelium
external medullary lamina of thalamus	external medullary lamina of thalamus	UBERON	0014534	external medullary lamina of thalamus
antorbital fenestra	antorbital fenestra	UBERON	0014465	antorbital fenestra
nucleus recessus preopticus	nucleus recessus preopticus	UBERON	0014666	nucleus recessus preopticus
anterior prenasal cartilage	anterior prenasal cartilage	UBERON	3010827	anterior prenasal cartilage
submandibular gland	submandibular gland	UBERON	0001736	submandibular gland
fourth ventricle median aperture	fourth ventricle median aperture	UBERON	0003991	fourth ventricle median aperture
proximal phalanx of digit 1	proximal phalanx of digit 1	UBERON	0014501	proximal phalanx of digit 1
central gray substance of midbrain	central gray substance of midbrain	UBERON	0003040	central gray substance of midbrain
proximal phalanx of digit 4	proximal phalanx of digit 4	UBERON	0014504	proximal phalanx of digit 4
nasal ciliary artery	nasal ciliary artery	UBERON	2005053	nasal ciliary artery
proximal phalanx of digit 5	proximal phalanx of digit 5	UBERON	0014505	proximal phalanx of digit 5
proximal phalanx of digit 2	proximal phalanx of digit 2	UBERON	0014502	proximal phalanx of digit 2
proximal phalanx of digit 3	proximal phalanx of digit 3	UBERON	0014503	proximal phalanx of digit 3
prominentia apicalis dorsalis	prominentia apicalis dorsalis	UBERON	3000688	prominentia apicalis dorsalis
dorsal head of rib	dorsal head of rib	UBERON	0011652	dorsal head of rib
adult muscle system	adult muscle system	UBERON	6003218	adult muscle system
mucosa of left uterine tube	mucosa of left uterine tube	UBERON	0005012	mucosa of left uterine tube
posterolateral visual area	posterolateral visual area	UBERON	0035897	posterolateral visual area
m. flexor indicis superficialis proprius	m. flexor indicis superficialis proprius	UBERON	3010815	m. flexor indicis superficialis proprius
supraneural 9 element	supraneural 9 element	UBERON	4300221	supraneural 9 element
thoracic spinal cord ventral column	thoracic spinal cord ventral column	UBERON	0005852	thoracic spinal cord ventral column
basioccipital posterodorsal region	basioccipital posterodorsal region	UBERON	2000337	basioccipital posterodorsal region
tectobulbar tract	tectobulbar tract	UBERON	0002164	tectobulbar tract
accessory ciliary ganglion	accessory ciliary ganglion	UBERON	0035776	accessory ciliary ganglion
intestinal bulb epithelium	intestinal bulb epithelium	UBERON	2005126	intestinal bulb epithelium
skin of anterior chest	skin of anterior chest	UBERON	0019200	skin of anterior chest
lobar bronchus mesenchyme	lobar bronchus mesenchyme	UBERON	0004884	lobar bronchus mesenchyme
falx cerebelli	falx cerebelli	UBERON	0035425	falx cerebelli
posterior cerebral artery	posterior cerebral artery	UBERON	0001636	posterior cerebral artery
latissimus dorsi pre-muscle mass	latissimus dorsi pre-muscle mass	UBERON	0010982	latissimus dorsi pre-muscle mass
chemoarchitectural part of striatum	chemoarchitectural part of striatum	UBERON	0025736	chemoarchitectural part of striatum
cochlear duct of membranous labyrinth	cochlear duct of membranous labyrinth	UBERON	0001855	cochlear duct of membranous labyrinth
caudofemoralis	caudofemoralis	UBERON	0013221	caudofemoralis
ventral root of spinal cord	ventral root of spinal cord	UBERON	0002260	ventral root of spinal cord
cardiac endomysium	cardiac endomysium	UBERON	0011897	cardiac endomysium
tracheobronchial lymph node	tracheobronchial lymph node	UBERON	0015472	tracheobronchial lymph node
basibranchial 5 bone	basibranchial 5 bone	UBERON	2001701	basibranchial 5 bone
postcommissural fornix of brain	postcommissural fornix of brain	UBERON	0003016	postcommissural fornix of brain
smegma	smegma	UBERON	0003670	smegma
premaxilla maxillary process	premaxilla maxillary process	UBERON	4500018	premaxilla maxillary process
esophagogastric junction muscularis propria	esophagogastric junction muscularis propria	UBERON	0035841	esophagogastric junction muscularis propria
elastica externa of notochord	elastica externa of notochord	UBERON	0013655	elastica externa of notochord
dorsal nerve root of thoracic spinal cord	dorsal nerve root of thoracic spinal cord	UBERON	0014616	dorsal nerve root of thoracic spinal cord
adventitia of ureter	adventitia of ureter	UBERON	0001252	adventitia of ureter
reproductive gland secretion	reproductive gland secretion	UBERON	0022293	reproductive gland secretion
central amygdaloid nucleus	central amygdaloid nucleus	UBERON	0002883	central amygdaloid nucleus
trachea non-cartilage connective tissue	trachea non-cartilage connective tissue	UBERON	0009644	trachea non-cartilage connective tissue
inner lining mucosa of the abomasum	inner lining mucosa of the abomasum	UBERON	0010154	inner lining mucosa of the abomasum
pedal digit 1 phalanx cartilage element	pedal digit 1 phalanx cartilage element	UBERON	0010680	pedal digit 1 phalanx cartilage element
mesopterygium cartilage	mesopterygium cartilage	UBERON	1500007	mesopterygium cartilage
puboischiofemoralis muscle	puboischiofemoralis muscle	UBERON	0014842	puboischiofemoralis muscle
lower premolar 2	lower premolar 2	UBERON	0018285	lower premolar 2
lower premolar 1	lower premolar 1	UBERON	0018284	lower premolar 1
median fin lepidotrichium	median fin lepidotrichium	UBERON	4500008	median fin lepidotrichium
pedicle of vertebra	pedicle of vertebra	UBERON	0001078	pedicle of vertebra
temporal operculum	temporal operculum	UBERON	0002560	temporal operculum
transverse marginal ridge of tooth	transverse marginal ridge of tooth	UBERON	0016937	transverse marginal ridge of tooth
stylopod	stylopod	UBERON	0002472	stylopod
pharyngobranchial 4 bone uncinate process	pharyngobranchial 4 bone uncinate process	UBERON	2001793	pharyngobranchial 4 bone uncinate process
phalanx pre-cartilage condensation	phalanx pre-cartilage condensation	UBERON	0010700	phalanx pre-cartilage condensation
hyponychium	hyponychium	UBERON	0002284	hyponychium
reticulotegmental nucleus	reticulotegmental nucleus	UBERON	0002147	reticulotegmental nucleus
extensor carpi radialis muscle	extensor carpi radialis muscle	UBERON	0011867	extensor carpi radialis muscle
ventral surface of penis	ventral surface of penis	UBERON	0017659	ventral surface of penis
fibula facet of femur	fibula facet of femur	UBERON	4200216	fibula facet of femur
cusp of cardiac valve	cusp of cardiac valve	UBERON	0006009	cusp of cardiac valve
koniocellular layer of dorsal nucleus of lateral geniculate body	koniocellular layer of dorsal nucleus of lateral geniculate body	UBERON	0013615	koniocellular layer of dorsal nucleus of lateral geniculate body
cleithrum head	cleithrum head	UBERON	4200033	cleithrum head
upper esophageal sphincter	upper esophageal sphincter	UBERON	0007268	upper esophageal sphincter
thoracic aorta	thoracic aorta	UBERON	0001515	thoracic aorta
ascidian anterior sensory vesicle	ascidian anterior sensory vesicle	UBERON	0009892	ascidian anterior sensory vesicle
trigone of urinary bladder	trigone of urinary bladder	UBERON	0001257	trigone of urinary bladder
zeugopodial skeleton	zeugopodial skeleton	UBERON	0011584	zeugopodial skeleton
cortical intermediate zone	cortical intermediate zone	UBERON	0004040	cortical intermediate zone
blood vessel elastic tissue	blood vessel elastic tissue	UBERON	0003614	blood vessel elastic tissue
medulla of organ	medulla of organ	UBERON	0000958	medulla of organ
M. ulnocarpalis	M. ulnocarpalis	UBERON	3010741	M. ulnocarpalis
