value_en	description_en	codesystem	code	description_code
Uzbekistani	Uzbekistani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0340	Uzbekistani
Afghan	Afghan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0341	Afghan
Kazakhstani	Kazakhstani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0342	Kazakhstani
Kyrgyzstani	Kyrgyzstani	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0343	Kyrgyzstani
Albanian	Albanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0344	Albanian
Andorran	Andorran	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0345	Andorran
Australian	Australian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0346	Australian
Austrian	Austrian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0347	Austrian
Belarusian	Belarusian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0348	Belarusian
Belgian	Belgian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0349	Belgian
Bermudian	Bermudian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0350	Bermudian
Bosnian or Herzegovinian	Bosnian or Herzegovinian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0351	Bosnian or Herzegovinian
Brazilian	Brazilian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0352	Brazilian
Bulgarian	Bulgarian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0353	Bulgarian
Canadian	Canadian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0354	Canadian
Channel Islander	Channel Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0355	Channel Islander
Chilean	Chilean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0356	Chilean
Croatian	Croatian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0357	Croatian
Czech	Czech	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0358	Czech
Danish	Danish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0359	Danish
Estonian	Estonian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0360	Estonian
Faroese	Faroese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0361	Faroese
Falkland Islander	Falkland Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0362	Falkland Islander
French	French	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0363	French
German	German	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0364	German
Gibraltarian	Gibraltarian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0365	Gibraltarian
Greek	Greek	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0366	Greek
Greenlander	Greenlander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0367	Greenlander
Hungrian	Hungrian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0368	Hungrian
Icelandic	Icelandic	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0369	Icelandic
Manx	Manx	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0370	Manx
Latvian	Latvian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0371	Latvian
Liechtensteiner	Liechtensteiner	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0372	Liechtensteiner
Lithuanian	Lithuanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0373	Lithuanian
Luxembourgish	Luxembourgish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0374	Luxembourgish
Maltese	Maltese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0375	Maltese
Monegasque	Monegasque	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0376	Monegasque
Montenegrin	Montenegrin	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0377	Montenegrin
New Zealandish	New Zealandish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0378	New Zealandish
Norfolk Islander	Norfolk Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0379	Norfolk Islander
Norwegian	Norwegian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0380	Norwegian
Polish	Polish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0381	Polish
Portugese	Portugese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0382	Portugese
Irish	Irish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0383	Irish
Moldovan	Moldovan	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0384	Moldovan
Romanian	Romanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0385	Romanian
Russian	Russian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0386	Russian
Saint-Pierrais or Miquelonnais	Saint-Pierrais or Miquelonnais	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0387	Saint-Pierrais or Miquelonnais
Sammarinese	Sammarinese	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0388	Sammarinese
Serb	Serb	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0389	Serb
Slovak	Slovak	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0390	Slovak
Slovene	Slovene	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0391	Slovene
Spanish	Spanish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0392	Spanish
Swedish	Swedish	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0393	Swedish
Swiss	Swiss	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0394	Swiss
Macedonian	Macedonian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0395	Macedonian
Ukrainian	Ukrainian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0396	Ukrainian
Argentine	Argentine	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0397	Argentine
Bahamian	Bahamian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0398	Bahamian
Belizean	Belizean	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0399	Belizean
Bolivian	Bolivian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0400	Bolivian
British Virgin Islander	British Virgin Islander	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0401	British Virgin Islander
Caymanian	Caymanian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0402	Caymanian
Colombian	Colombian	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0403	Colombian
Costa Rican	Costa Rican	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0404	Costa Rican
Cuban	Cuban	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0405	Cuban
Dominican	Dominican	HANCESTRO	http://purl.obolibrary.org/obo/HANCESTRO_0406	Dominican
