name	entity	label	dataType	idAttribute	nillable
value	individualconsent_datausepermissions	Value (English)	String	TRUE	FALSE
description	individualconsent_datausepermissions	Description (English)	Text	FALSE	TRUE
codesystem	individualconsent_datausepermissions	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	individualconsent_datausepermissions	The code within the code system	String	FALSE	TRUE
iri	individualconsent_datausepermissions	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
