name	entity	label	dataType	idAttribute	nillable
value	ImagingSeries_ImagingProcedure	Value (English)	String	TRUE	FALSE
description	ImagingSeries_ImagingProcedure	Description (English)	Text	FALSE	TRUE
codesystem	ImagingSeries_ImagingProcedure	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	ImagingSeries_ImagingProcedure	The code within the code system	String	FALSE	TRUE
iri	ImagingSeries_ImagingProcedure	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
