name	entity	label	dataType	idAttribute	nillable
value	personal_primaryaffiliatedinstitute	Value (English)	String	TRUE	FALSE
description	personal_primaryaffiliatedinstitute	Description (English)	Text	FALSE	TRUE
codesystem	personal_primaryaffiliatedinstitute	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	personal_primaryaffiliatedinstitute	The code within the code system	String	FALSE	TRUE
iri	personal_primaryaffiliatedinstitute	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
