name	entity	label	dataType	idAttribute	nillable
value	IndividualConsent_AllowRecontacting	Value (English)	String	TRUE	FALSE
description	IndividualConsent_AllowRecontacting	Description (English)	Text	FALSE	TRUE
codesystem	IndividualConsent_AllowRecontacting	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	IndividualConsent_AllowRecontacting	The code within the code system	String	FALSE	TRUE
iri	IndividualConsent_AllowRecontacting	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
