name	entity	label	dataType	idAttribute	nillable
value	SamplePreparation_LibraryPreparationKit	Value (English)	String	TRUE	FALSE
description	SamplePreparation_LibraryPreparationKit	Description (English)	Text	FALSE	TRUE
codesystem	SamplePreparation_LibraryPreparationKit	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	SamplePreparation_LibraryPreparationKit	The code within the code system	String	FALSE	TRUE
iri	SamplePreparation_LibraryPreparationKit	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
