name	entity	label	dataType	idAttribute	nillable
value	Sequencing_SequencingPlatform	Value (English)	String	TRUE	FALSE
description	Sequencing_SequencingPlatform	Description (English)	Text	FALSE	TRUE
codesystem	Sequencing_SequencingPlatform	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	Sequencing_SequencingPlatform	The code within the code system	String	FALSE	TRUE
iri	Sequencing_SequencingPlatform	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
