name	entity	label	dataType	idAttribute	nillable
value	IndividualConsent_DataUsePermissions	Value (English)	String	TRUE	FALSE
description	IndividualConsent_DataUsePermissions	Description (English)	Text	FALSE	TRUE
codesystem	IndividualConsent_DataUsePermissions	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	IndividualConsent_DataUsePermissions	The code within the code system	String	FALSE	TRUE
iri	IndividualConsent_DataUsePermissions	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
