name	entity	label	dataType	idAttribute	nillable
value	leafletandconsentform_consentformcreator	Value (English)	String	TRUE	FALSE
description	leafletandconsentform_consentformcreator	Description (English)	Text	FALSE	TRUE
codesystem	leafletandconsentform_consentformcreator	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	leafletandconsentform_consentformcreator	The code within the code system	String	FALSE	TRUE
iri	leafletandconsentform_consentformcreator	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
