name	entity	label	dataType	idAttribute	nillable
value	SamplePreparation_TargetEnrichmentKit	Value (English)	String	TRUE	FALSE
description	SamplePreparation_TargetEnrichmentKit	Description (English)	Text	FALSE	TRUE
codesystem	SamplePreparation_TargetEnrichmentKit	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	SamplePreparation_TargetEnrichmentKit	The code within the code system	String	FALSE	TRUE
iri	SamplePreparation_TargetEnrichmentKit	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
