name	entity	label	dataType	idAttribute	nillable
value	IndividualConsent_DataUseModifiers	Value (English)	String	TRUE	FALSE
description	IndividualConsent_DataUseModifiers	Description (English)	Text	FALSE	TRUE
codesystem	IndividualConsent_DataUseModifiers	The code system (e.g. ontology) this term belongs to	String	FALSE	TRUE
code	IndividualConsent_DataUseModifiers	The code within the code system	String	FALSE	TRUE
iri	IndividualConsent_DataUseModifiers	The Internationalized Resource Identifier for this term	String	FALSE	TRUE
