value	description	codesystem	code	iri
perilymph	perilymph	UBERON	0001845	http://purl.obolibrary.org/obo/UBERON_0001845
internal ear	internal ear	UBERON	0001846	http://purl.obolibrary.org/obo/UBERON_0001846
lobule of pinna	lobule of pinna	UBERON	0001847	http://purl.obolibrary.org/obo/UBERON_0001847
auricular cartilage	auricular cartilage	UBERON	0001848	http://purl.obolibrary.org/obo/UBERON_0001848
membranous labyrinth	membranous labyrinth	UBERON	0001849	http://purl.obolibrary.org/obo/UBERON_0001849
lacrimal drainage system	lacrimal drainage system	UBERON	0001850	http://purl.obolibrary.org/obo/UBERON_0001850
cortex	cortex	UBERON	0001851	http://purl.obolibrary.org/obo/UBERON_0001851
endolymph	endolymph	UBERON	0001852	http://purl.obolibrary.org/obo/UBERON_0001852
utricle of membranous labyrinth	utricle of membranous labyrinth	UBERON	0001853	http://purl.obolibrary.org/obo/UBERON_0001853
saccule of membranous labyrinth	saccule of membranous labyrinth	UBERON	0001854	http://purl.obolibrary.org/obo/UBERON_0001854
cochlear duct of membranous labyrinth	cochlear duct of membranous labyrinth	UBERON	0001855	http://purl.obolibrary.org/obo/UBERON_0001855
semicircular duct	semicircular duct	UBERON	0001856	http://purl.obolibrary.org/obo/UBERON_0001856
anterior semicircular duct	anterior semicircular duct	UBERON	0001857	http://purl.obolibrary.org/obo/UBERON_0001857
posterior semicircular duct	posterior semicircular duct	UBERON	0001858	http://purl.obolibrary.org/obo/UBERON_0001858
lateral semicircular duct	lateral semicircular duct	UBERON	0001859	http://purl.obolibrary.org/obo/UBERON_0001859
endolymphatic duct	endolymphatic duct	UBERON	0001860	http://purl.obolibrary.org/obo/UBERON_0001860
ductus reuniens	ductus reuniens	UBERON	0001861	http://purl.obolibrary.org/obo/UBERON_0001861
vestibular labyrinth	vestibular labyrinth	UBERON	0001862	http://purl.obolibrary.org/obo/UBERON_0001862
scala vestibuli	scala vestibuli	UBERON	0001863	http://purl.obolibrary.org/obo/UBERON_0001863
scala tympani	scala tympani	UBERON	0001864	http://purl.obolibrary.org/obo/UBERON_0001864
cartilaginous external acoustic tube	cartilaginous external acoustic tube	UBERON	0001865	http://purl.obolibrary.org/obo/UBERON_0001865
sebum	sebum	UBERON	0001866	http://purl.obolibrary.org/obo/UBERON_0001866
cartilage of external ear	cartilage of external ear	UBERON	0001867	http://purl.obolibrary.org/obo/UBERON_0001867
skin of chest	skin of chest	UBERON	0001868	http://purl.obolibrary.org/obo/UBERON_0001868
cerebral hemisphere	cerebral hemisphere	UBERON	0001869	http://purl.obolibrary.org/obo/UBERON_0001869
frontal cortex	frontal cortex	UBERON	0001870	http://purl.obolibrary.org/obo/UBERON_0001870
temporal lobe	temporal lobe	UBERON	0001871	http://purl.obolibrary.org/obo/UBERON_0001871
parietal lobe	parietal lobe	UBERON	0001872	http://purl.obolibrary.org/obo/UBERON_0001872
caudate nucleus	caudate nucleus	UBERON	0001873	http://purl.obolibrary.org/obo/UBERON_0001873
putamen	putamen	UBERON	0001874	http://purl.obolibrary.org/obo/UBERON_0001874
globus pallidus	globus pallidus	UBERON	0001875	http://purl.obolibrary.org/obo/UBERON_0001875
amygdala	amygdala	UBERON	0001876	http://purl.obolibrary.org/obo/UBERON_0001876
medial septal nucleus	medial septal nucleus	UBERON	0001877	http://purl.obolibrary.org/obo/UBERON_0001877
septofimbrial nucleus	septofimbrial nucleus	UBERON	0001878	http://purl.obolibrary.org/obo/UBERON_0001878
nucleus of diagonal band	nucleus of diagonal band	UBERON	0001879	http://purl.obolibrary.org/obo/UBERON_0001879
bed nucleus of stria terminalis	bed nucleus of stria terminalis	UBERON	0001880	http://purl.obolibrary.org/obo/UBERON_0001880
island of Calleja	island of Calleja	UBERON	0001881	http://purl.obolibrary.org/obo/UBERON_0001881
nucleus accumbens	nucleus accumbens	UBERON	0001882	http://purl.obolibrary.org/obo/UBERON_0001882
olfactory tubercle	olfactory tubercle	UBERON	0001883	http://purl.obolibrary.org/obo/UBERON_0001883
phrenic nerve	phrenic nerve	UBERON	0001884	http://purl.obolibrary.org/obo/UBERON_0001884
dentate gyrus of hippocampal formation	dentate gyrus of hippocampal formation	UBERON	0001885	http://purl.obolibrary.org/obo/UBERON_0001885
choroid plexus	choroid plexus	UBERON	0001886	http://purl.obolibrary.org/obo/UBERON_0001886
internal capsule of telencephalon	internal capsule of telencephalon	UBERON	0001887	http://purl.obolibrary.org/obo/UBERON_0001887
lateral olfactory stria	lateral olfactory stria	UBERON	0001888	http://purl.obolibrary.org/obo/UBERON_0001888
trunk of phrenic nerve	trunk of phrenic nerve	UBERON	0001889	http://purl.obolibrary.org/obo/UBERON_0001889
forebrain	forebrain	UBERON	0001890	http://purl.obolibrary.org/obo/UBERON_0001890
midbrain	midbrain	UBERON	0001891	http://purl.obolibrary.org/obo/UBERON_0001891
rhombomere	rhombomere	UBERON	0001892	http://purl.obolibrary.org/obo/UBERON_0001892
telencephalon	telencephalon	UBERON	0001893	http://purl.obolibrary.org/obo/UBERON_0001893
diencephalon	diencephalon	UBERON	0001894	http://purl.obolibrary.org/obo/UBERON_0001894
metencephalon	metencephalon	UBERON	0001895	http://purl.obolibrary.org/obo/UBERON_0001895
medulla oblongata	medulla oblongata	UBERON	0001896	http://purl.obolibrary.org/obo/UBERON_0001896
dorsal plus ventral thalamus	dorsal plus ventral thalamus	UBERON	0001897	http://purl.obolibrary.org/obo/UBERON_0001897
hypothalamus	hypothalamus	UBERON	0001898	http://purl.obolibrary.org/obo/UBERON_0001898
epithalamus	epithalamus	UBERON	0001899	http://purl.obolibrary.org/obo/UBERON_0001899
ventral thalamus	ventral thalamus	UBERON	0001900	http://purl.obolibrary.org/obo/UBERON_0001900
epithelium of trachea	epithelium of trachea	UBERON	0001901	http://purl.obolibrary.org/obo/UBERON_0001901
epithelium of small intestine	epithelium of small intestine	UBERON	0001902	http://purl.obolibrary.org/obo/UBERON_0001902
thalamic reticular nucleus	thalamic reticular nucleus	UBERON	0001903	http://purl.obolibrary.org/obo/UBERON_0001903
habenula	habenula	UBERON	0001904	http://purl.obolibrary.org/obo/UBERON_0001904
pineal body	pineal body	UBERON	0001905	http://purl.obolibrary.org/obo/UBERON_0001905
subthalamic nucleus	subthalamic nucleus	UBERON	0001906	http://purl.obolibrary.org/obo/UBERON_0001906
zona incerta	zona incerta	UBERON	0001907	http://purl.obolibrary.org/obo/UBERON_0001907
optic tract	optic tract	UBERON	0001908	http://purl.obolibrary.org/obo/UBERON_0001908
habenular commissure	habenular commissure	UBERON	0001909	http://purl.obolibrary.org/obo/UBERON_0001909
medial forebrain bundle	medial forebrain bundle	UBERON	0001910	http://purl.obolibrary.org/obo/UBERON_0001910
mammary gland	mammary gland	UBERON	0001911	http://purl.obolibrary.org/obo/UBERON_0001911
lobule of mammary gland	lobule of mammary gland	UBERON	0001912	http://purl.obolibrary.org/obo/UBERON_0001912
milk	milk	UBERON	0001913	http://purl.obolibrary.org/obo/UBERON_0001913
colostrum	colostrum	UBERON	0001914	http://purl.obolibrary.org/obo/UBERON_0001914
endothelium of capillary	endothelium of capillary	UBERON	0001915	http://purl.obolibrary.org/obo/UBERON_0001915
endothelium of arteriole	endothelium of arteriole	UBERON	0001916	http://purl.obolibrary.org/obo/UBERON_0001916
endothelium of artery	endothelium of artery	UBERON	0001917	http://purl.obolibrary.org/obo/UBERON_0001917
endothelium of venule	endothelium of venule	UBERON	0001918	http://purl.obolibrary.org/obo/UBERON_0001918
endothelium of vein	endothelium of vein	UBERON	0001919	http://purl.obolibrary.org/obo/UBERON_0001919
paraventricular nucleus of thalamus	paraventricular nucleus of thalamus	UBERON	0001920	http://purl.obolibrary.org/obo/UBERON_0001920
reuniens nucleus	reuniens nucleus	UBERON	0001921	http://purl.obolibrary.org/obo/UBERON_0001921
parafascicular nucleus	parafascicular nucleus	UBERON	0001922	http://purl.obolibrary.org/obo/UBERON_0001922
central medial nucleus	central medial nucleus	UBERON	0001923	http://purl.obolibrary.org/obo/UBERON_0001923
paracentral nucleus	paracentral nucleus	UBERON	0001924	http://purl.obolibrary.org/obo/UBERON_0001924
ventral lateral nucleus of thalamus	ventral lateral nucleus of thalamus	UBERON	0001925	http://purl.obolibrary.org/obo/UBERON_0001925
lateral geniculate body	lateral geniculate body	UBERON	0001926	http://purl.obolibrary.org/obo/UBERON_0001926
medial geniculate body	medial geniculate body	UBERON	0001927	http://purl.obolibrary.org/obo/UBERON_0001927
preoptic area	preoptic area	UBERON	0001928	http://purl.obolibrary.org/obo/UBERON_0001928
supraoptic nucleus	supraoptic nucleus	UBERON	0001929	http://purl.obolibrary.org/obo/UBERON_0001929
paraventricular nucleus of hypothalamus	paraventricular nucleus of hypothalamus	UBERON	0001930	http://purl.obolibrary.org/obo/UBERON_0001930
lateral preoptic nucleus	lateral preoptic nucleus	UBERON	0001931	http://purl.obolibrary.org/obo/UBERON_0001931
arcuate nucleus of hypothalamus	arcuate nucleus of hypothalamus	UBERON	0001932	http://purl.obolibrary.org/obo/UBERON_0001932
retrochiasmatic area	retrochiasmatic area	UBERON	0001933	http://purl.obolibrary.org/obo/UBERON_0001933
dorsomedial nucleus of hypothalamus	dorsomedial nucleus of hypothalamus	UBERON	0001934	http://purl.obolibrary.org/obo/UBERON_0001934
ventromedial nucleus of hypothalamus	ventromedial nucleus of hypothalamus	UBERON	0001935	http://purl.obolibrary.org/obo/UBERON_0001935
tuberomammillary nucleus	tuberomammillary nucleus	UBERON	0001936	http://purl.obolibrary.org/obo/UBERON_0001936
lateral hypothalamic nucleus	lateral hypothalamic nucleus	UBERON	0001937	http://purl.obolibrary.org/obo/UBERON_0001937
lateral mammillary nucleus	lateral mammillary nucleus	UBERON	0001938	http://purl.obolibrary.org/obo/UBERON_0001938
medial mammillary nucleus	medial mammillary nucleus	UBERON	0001939	http://purl.obolibrary.org/obo/UBERON_0001939
supramammillary nucleus	supramammillary nucleus	UBERON	0001940	http://purl.obolibrary.org/obo/UBERON_0001940
lateral habenular nucleus	lateral habenular nucleus	UBERON	0001941	http://purl.obolibrary.org/obo/UBERON_0001941
medial habenular nucleus	medial habenular nucleus	UBERON	0001942	http://purl.obolibrary.org/obo/UBERON_0001942
midbrain tegmentum	midbrain tegmentum	UBERON	0001943	http://purl.obolibrary.org/obo/UBERON_0001943
pretectal region	pretectal region	UBERON	0001944	http://purl.obolibrary.org/obo/UBERON_0001944
superior colliculus	superior colliculus	UBERON	0001945	http://purl.obolibrary.org/obo/UBERON_0001945
inferior colliculus	inferior colliculus	UBERON	0001946	http://purl.obolibrary.org/obo/UBERON_0001946
red nucleus	red nucleus	UBERON	0001947	http://purl.obolibrary.org/obo/UBERON_0001947
regional part of spinal cord	regional part of spinal cord	UBERON	0001948	http://purl.obolibrary.org/obo/UBERON_0001948
gingival epithelium	gingival epithelium	UBERON	0001949	http://purl.obolibrary.org/obo/UBERON_0001949
neocortex	neocortex	UBERON	0001950	http://purl.obolibrary.org/obo/UBERON_0001950
epithelium of nasopharynx	epithelium of nasopharynx	UBERON	0001951	http://purl.obolibrary.org/obo/UBERON_0001951
epithelium of oropharynx	epithelium of oropharynx	UBERON	0001952	http://purl.obolibrary.org/obo/UBERON_0001952
presubiculum	presubiculum	UBERON	0001953	http://purl.obolibrary.org/obo/UBERON_0001953
Ammon's horn	Ammon's horn	UBERON	0001954	http://purl.obolibrary.org/obo/UBERON_0001954
epithelium of respiratory bronchiole	epithelium of respiratory bronchiole	UBERON	0001955	http://purl.obolibrary.org/obo/UBERON_0001955
cartilage of bronchus	cartilage of bronchus	UBERON	0001956	http://purl.obolibrary.org/obo/UBERON_0001956
submucosa of bronchus	submucosa of bronchus	UBERON	0001957	http://purl.obolibrary.org/obo/UBERON_0001957
terminal bronchiole epithelium	terminal bronchiole epithelium	UBERON	0001958	http://purl.obolibrary.org/obo/UBERON_0001958
white pulp of spleen	white pulp of spleen	UBERON	0001959	http://purl.obolibrary.org/obo/UBERON_0001959
periarterial lymphatic sheath	periarterial lymphatic sheath	UBERON	0001960	http://purl.obolibrary.org/obo/UBERON_0001960
mucosa-associated lymphoid tissue	mucosa-associated lymphoid tissue	UBERON	0001961	http://purl.obolibrary.org/obo/UBERON_0001961
gut-associated lymphoid tissue	gut-associated lymphoid tissue	UBERON	0001962	http://purl.obolibrary.org/obo/UBERON_0001962
bronchial-associated lymphoid tissue	bronchial-associated lymphoid tissue	UBERON	0001963	http://purl.obolibrary.org/obo/UBERON_0001963
least splanchnic nerve	least splanchnic nerve	UBERON	0001964	http://purl.obolibrary.org/obo/UBERON_0001964
substantia nigra pars compacta	substantia nigra pars compacta	UBERON	0001965	http://purl.obolibrary.org/obo/UBERON_0001965
substantia nigra pars reticulata	substantia nigra pars reticulata	UBERON	0001966	http://purl.obolibrary.org/obo/UBERON_0001966
reticular lamina of epithelium	reticular lamina of epithelium	UBERON	0001967	http://purl.obolibrary.org/obo/UBERON_0001967
semen	semen	UBERON	0001968	http://purl.obolibrary.org/obo/UBERON_0001968
blood plasma	blood plasma	UBERON	0001969	http://purl.obolibrary.org/obo/UBERON_0001969
bile	bile	UBERON	0001970	http://purl.obolibrary.org/obo/UBERON_0001970
gastric juice	gastric juice	UBERON	0001971	http://purl.obolibrary.org/obo/UBERON_0001971
submucosa of esophagus	submucosa of esophagus	UBERON	0001972	http://purl.obolibrary.org/obo/UBERON_0001972
lamina propria of esophagus	lamina propria of esophagus	UBERON	0001974	http://purl.obolibrary.org/obo/UBERON_0001974
serosa of esophagus	serosa of esophagus	UBERON	0001975	http://purl.obolibrary.org/obo/UBERON_0001975
epithelium of esophagus	epithelium of esophagus	UBERON	0001976	http://purl.obolibrary.org/obo/UBERON_0001976
blood serum	blood serum	UBERON	0001977	http://purl.obolibrary.org/obo/UBERON_0001977
parenchyma of pancreas	parenchyma of pancreas	UBERON	0001978	http://purl.obolibrary.org/obo/UBERON_0001978
venule	venule	UBERON	0001979	http://purl.obolibrary.org/obo/UBERON_0001979
arteriole	arteriole	UBERON	0001980	http://purl.obolibrary.org/obo/UBERON_0001980
blood vessel	blood vessel	UBERON	0001981	http://purl.obolibrary.org/obo/UBERON_0001981
capillary	capillary	UBERON	0001982	http://purl.obolibrary.org/obo/UBERON_0001982
crypt of Lieberkuhn	crypt of Lieberkuhn	UBERON	0001983	http://purl.obolibrary.org/obo/UBERON_0001983
crypt of Lieberkuhn of large intestine	crypt of Lieberkuhn of large intestine	UBERON	0001984	http://purl.obolibrary.org/obo/UBERON_0001984
corneal endothelium	corneal endothelium	UBERON	0001985	http://purl.obolibrary.org/obo/UBERON_0001985
endothelium	endothelium	UBERON	0001986	http://purl.obolibrary.org/obo/UBERON_0001986
placenta	placenta	UBERON	0001987	http://purl.obolibrary.org/obo/UBERON_0001987
feces	feces	UBERON	0001988	http://purl.obolibrary.org/obo/UBERON_0001988
superior cervical ganglion	superior cervical ganglion	UBERON	0001989	http://purl.obolibrary.org/obo/UBERON_0001989
middle cervical ganglion	middle cervical ganglion	UBERON	0001990	http://purl.obolibrary.org/obo/UBERON_0001990
cervical ganglion	cervical ganglion	UBERON	0001991	http://purl.obolibrary.org/obo/UBERON_0001991
papillary layer of dermis	papillary layer of dermis	UBERON	0001992	http://purl.obolibrary.org/obo/UBERON_0001992
reticular layer of dermis	reticular layer of dermis	UBERON	0001993	http://purl.obolibrary.org/obo/UBERON_0001993
hyaline cartilage tissue	hyaline cartilage tissue	UBERON	0001994	http://purl.obolibrary.org/obo/UBERON_0001994
fibrocartilage	fibrocartilage	UBERON	0001995	http://purl.obolibrary.org/obo/UBERON_0001995
elastic cartilage tissue	elastic cartilage tissue	UBERON	0001996	http://purl.obolibrary.org/obo/UBERON_0001996
olfactory epithelium	olfactory epithelium	UBERON	0001997	http://purl.obolibrary.org/obo/UBERON_0001997
sternocostal joint	sternocostal joint	UBERON	0001998	http://purl.obolibrary.org/obo/UBERON_0001998
iliopsoas	iliopsoas	UBERON	0001999	http://purl.obolibrary.org/obo/UBERON_0001999
gluteal muscle	gluteal muscle	UBERON	0002000	http://purl.obolibrary.org/obo/UBERON_0002000
joint of rib	joint of rib	UBERON	0002001	http://purl.obolibrary.org/obo/UBERON_0002001
interchondral joint	interchondral joint	UBERON	0002002	http://purl.obolibrary.org/obo/UBERON_0002002
trunk of sciatic nerve	trunk of sciatic nerve	UBERON	0002004	http://purl.obolibrary.org/obo/UBERON_0002004
enteric nervous system	enteric nervous system	UBERON	0002005	http://purl.obolibrary.org/obo/UBERON_0002005
cortex of lymph node	cortex of lymph node	UBERON	0002006	http://purl.obolibrary.org/obo/UBERON_0002006
medulla of lymph node	medulla of lymph node	UBERON	0002007	http://purl.obolibrary.org/obo/UBERON_0002007
cardiac nerve plexus	cardiac nerve plexus	UBERON	0002008	http://purl.obolibrary.org/obo/UBERON_0002008
pulmonary nerve plexus	pulmonary nerve plexus	UBERON	0002009	http://purl.obolibrary.org/obo/UBERON_0002009
celiac nerve plexus	celiac nerve plexus	UBERON	0002010	http://purl.obolibrary.org/obo/UBERON_0002010
thoracodorsal artery	thoracodorsal artery	UBERON	0002011	http://purl.obolibrary.org/obo/UBERON_0002011
pulmonary artery	pulmonary artery	UBERON	0002012	http://purl.obolibrary.org/obo/UBERON_0002012
superior hypogastric nerve plexus	superior hypogastric nerve plexus	UBERON	0002013	http://purl.obolibrary.org/obo/UBERON_0002013
inferior hypogastric nerve plexus	inferior hypogastric nerve plexus	UBERON	0002014	http://purl.obolibrary.org/obo/UBERON_0002014
kidney capsule	kidney capsule	UBERON	0002015	http://purl.obolibrary.org/obo/UBERON_0002015
pulmonary vein	pulmonary vein	UBERON	0002016	http://purl.obolibrary.org/obo/UBERON_0002016
portal vein	portal vein	UBERON	0002017	http://purl.obolibrary.org/obo/UBERON_0002017
synovial membrane of synovial joint	synovial membrane of synovial joint	UBERON	0002018	http://purl.obolibrary.org/obo/UBERON_0002018
accessory XI nerve	accessory XI nerve	UBERON	0002019	http://purl.obolibrary.org/obo/UBERON_0002019
gray matter	gray matter	UBERON	0002020	http://purl.obolibrary.org/obo/UBERON_0002020
occipital lobe	occipital lobe	UBERON	0002021	http://purl.obolibrary.org/obo/UBERON_0002021
insula	insula	UBERON	0002022	http://purl.obolibrary.org/obo/UBERON_0002022
claustrum of brain	claustrum of brain	UBERON	0002023	http://purl.obolibrary.org/obo/UBERON_0002023
internal carotid nerve plexus	internal carotid nerve plexus	UBERON	0002024	http://purl.obolibrary.org/obo/UBERON_0002024
stratum basale of epidermis	stratum basale of epidermis	UBERON	0002025	http://purl.obolibrary.org/obo/UBERON_0002025
stratum spinosum of epidermis	stratum spinosum of epidermis	UBERON	0002026	http://purl.obolibrary.org/obo/UBERON_0002026
stratum corneum of epidermis	stratum corneum of epidermis	UBERON	0002027	http://purl.obolibrary.org/obo/UBERON_0002027
hindbrain	hindbrain	UBERON	0002028	http://purl.obolibrary.org/obo/UBERON_0002028
epithelium of gall bladder	epithelium of gall bladder	UBERON	0002029	http://purl.obolibrary.org/obo/UBERON_0002029
nipple	nipple	UBERON	0002030	http://purl.obolibrary.org/obo/UBERON_0002030
epithelium of bronchus	epithelium of bronchus	UBERON	0002031	http://purl.obolibrary.org/obo/UBERON_0002031
areola	areola	UBERON	0002032	http://purl.obolibrary.org/obo/UBERON_0002032
arrector muscle of hair	arrector muscle of hair	UBERON	0002033	http://purl.obolibrary.org/obo/UBERON_0002033
suprachiasmatic nucleus	suprachiasmatic nucleus	UBERON	0002034	http://purl.obolibrary.org/obo/UBERON_0002034
medial preoptic nucleus	medial preoptic nucleus	UBERON	0002035	http://purl.obolibrary.org/obo/UBERON_0002035
striated muscle tissue	striated muscle tissue	UBERON	0002036	http://purl.obolibrary.org/obo/UBERON_0002036
cerebellum	cerebellum	UBERON	0002037	http://purl.obolibrary.org/obo/UBERON_0002037
substantia nigra	substantia nigra	UBERON	0002038	http://purl.obolibrary.org/obo/UBERON_0002038
inferior phrenic vein	inferior phrenic vein	UBERON	0002039	http://purl.obolibrary.org/obo/UBERON_0002039
bronchial artery	bronchial artery	UBERON	0002040	http://purl.obolibrary.org/obo/UBERON_0002040
terminal bronchus	terminal bronchus	UBERON	0002041	http://purl.obolibrary.org/obo/UBERON_0002041
lymphatic vessel endothelium	lymphatic vessel endothelium	UBERON	0002042	http://purl.obolibrary.org/obo/UBERON_0002042
dorsal raphe nucleus	dorsal raphe nucleus	UBERON	0002043	http://purl.obolibrary.org/obo/UBERON_0002043
ventral nucleus of posterior commissure	ventral nucleus of posterior commissure	UBERON	0002044	http://purl.obolibrary.org/obo/UBERON_0002044
cuneate nucleus	cuneate nucleus	UBERON	0002045	http://purl.obolibrary.org/obo/UBERON_0002045
thyroid gland	thyroid gland	UBERON	0002046	http://purl.obolibrary.org/obo/UBERON_0002046
pontine raphe nucleus	pontine raphe nucleus	UBERON	0002047	http://purl.obolibrary.org/obo/UBERON_0002047
lung	lung	UBERON	0002048	http://purl.obolibrary.org/obo/UBERON_0002048
vasculature	vasculature	UBERON	0002049	http://purl.obolibrary.org/obo/UBERON_0002049
embryonic structure	embryonic structure	UBERON	0002050	http://purl.obolibrary.org/obo/UBERON_0002050
epithelium of bronchiole	epithelium of bronchiole	UBERON	0002051	http://purl.obolibrary.org/obo/UBERON_0002051
adrenal gland capsule	adrenal gland capsule	UBERON	0002052	http://purl.obolibrary.org/obo/UBERON_0002052
zona glomerulosa of adrenal gland	zona glomerulosa of adrenal gland	UBERON	0002053	http://purl.obolibrary.org/obo/UBERON_0002053
zona fasciculata of adrenal gland	zona fasciculata of adrenal gland	UBERON	0002054	http://purl.obolibrary.org/obo/UBERON_0002054
zona reticularis of adrenal gland	zona reticularis of adrenal gland	UBERON	0002055	http://purl.obolibrary.org/obo/UBERON_0002055
inferior suprarenal artery	inferior suprarenal artery	UBERON	0002056	http://purl.obolibrary.org/obo/UBERON_0002056
phrenic artery	phrenic artery	UBERON	0002057	http://purl.obolibrary.org/obo/UBERON_0002057
main ciliary ganglion	main ciliary ganglion	UBERON	0002058	http://purl.obolibrary.org/obo/UBERON_0002058
submandibular ganglion	submandibular ganglion	UBERON	0002059	http://purl.obolibrary.org/obo/UBERON_0002059
femoral artery	femoral artery	UBERON	0002060	http://purl.obolibrary.org/obo/UBERON_0002060
truncus arteriosus	truncus arteriosus	UBERON	0002061	http://purl.obolibrary.org/obo/UBERON_0002061
endocardial cushion	endocardial cushion	UBERON	0002062	http://purl.obolibrary.org/obo/UBERON_0002062
sinus venosus	sinus venosus	UBERON	0002063	http://purl.obolibrary.org/obo/UBERON_0002063
common cardinal vein	common cardinal vein	UBERON	0002064	http://purl.obolibrary.org/obo/UBERON_0002064
posterior cardinal vein	posterior cardinal vein	UBERON	0002065	http://purl.obolibrary.org/obo/UBERON_0002065
umbilical vein	umbilical vein	UBERON	0002066	http://purl.obolibrary.org/obo/UBERON_0002066
dermis	dermis	UBERON	0002067	http://purl.obolibrary.org/obo/UBERON_0002067
urachus	urachus	UBERON	0002068	http://purl.obolibrary.org/obo/UBERON_0002068
stratum granulosum of epidermis	stratum granulosum of epidermis	UBERON	0002069	http://purl.obolibrary.org/obo/UBERON_0002069
superior pancreaticoduodenal artery	superior pancreaticoduodenal artery	UBERON	0002070	http://purl.obolibrary.org/obo/UBERON_0002070
stratum lucidum of epidermis	stratum lucidum of epidermis	UBERON	0002071	http://purl.obolibrary.org/obo/UBERON_0002071
hypodermis	hypodermis	UBERON	0002072	http://purl.obolibrary.org/obo/UBERON_0002072
hair follicle	hair follicle	UBERON	0002073	http://purl.obolibrary.org/obo/UBERON_0002073
hair shaft	hair shaft	UBERON	0002074	http://purl.obolibrary.org/obo/UBERON_0002074
viscus	viscus	UBERON	0002075	http://purl.obolibrary.org/obo/UBERON_0002075
cuticle of hair	cuticle of hair	UBERON	0002076	http://purl.obolibrary.org/obo/UBERON_0002076
cortex of hair	cortex of hair	UBERON	0002077	http://purl.obolibrary.org/obo/UBERON_0002077
right cardiac atrium	right cardiac atrium	UBERON	0002078	http://purl.obolibrary.org/obo/UBERON_0002078
left cardiac atrium	left cardiac atrium	UBERON	0002079	http://purl.obolibrary.org/obo/UBERON_0002079
heart right ventricle	heart right ventricle	UBERON	0002080	http://purl.obolibrary.org/obo/UBERON_0002080
cardiac atrium	cardiac atrium	UBERON	0002081	http://purl.obolibrary.org/obo/UBERON_0002081
cardiac ventricle	cardiac ventricle	UBERON	0002082	http://purl.obolibrary.org/obo/UBERON_0002082
ductus venosus	ductus venosus	UBERON	0002083	http://purl.obolibrary.org/obo/UBERON_0002083
heart left ventricle	heart left ventricle	UBERON	0002084	http://purl.obolibrary.org/obo/UBERON_0002084
interatrial septum	interatrial septum	UBERON	0002085	http://purl.obolibrary.org/obo/UBERON_0002085
sinoatrial valve	sinoatrial valve	UBERON	0002086	http://purl.obolibrary.org/obo/UBERON_0002086
atrioventricular canal	atrioventricular canal	UBERON	0002087	http://purl.obolibrary.org/obo/UBERON_0002087
lateral thoracic vein	lateral thoracic vein	UBERON	0002088	http://purl.obolibrary.org/obo/UBERON_0002088
thoracodorsal vein	thoracodorsal vein	UBERON	0002089	http://purl.obolibrary.org/obo/UBERON_0002089
postcranial axial skeleton	postcranial axial skeleton	UBERON	0002090	http://purl.obolibrary.org/obo/UBERON_0002090
appendicular skeleton	appendicular skeleton	UBERON	0002091	http://purl.obolibrary.org/obo/UBERON_0002091
brain dura mater	brain dura mater	UBERON	0002092	http://purl.obolibrary.org/obo/UBERON_0002092
spinal dura mater	spinal dura mater	UBERON	0002093	http://purl.obolibrary.org/obo/UBERON_0002093
interventricular septum	interventricular septum	UBERON	0002094	http://purl.obolibrary.org/obo/UBERON_0002094
mesentery	mesentery	UBERON	0002095	http://purl.obolibrary.org/obo/UBERON_0002095
skin of body	skin of body	UBERON	0002097	http://purl.obolibrary.org/obo/UBERON_0002097
apex of heart	apex of heart	UBERON	0002098	http://purl.obolibrary.org/obo/UBERON_0002098
cardiac septum	cardiac septum	UBERON	0002099	http://purl.obolibrary.org/obo/UBERON_0002099
trunk	trunk	UBERON	0002100	http://purl.obolibrary.org/obo/UBERON_0002100
limb	limb	UBERON	0002101	http://purl.obolibrary.org/obo/UBERON_0002101
forelimb	forelimb	UBERON	0002102	http://purl.obolibrary.org/obo/UBERON_0002102
hindlimb	hindlimb	UBERON	0002103	http://purl.obolibrary.org/obo/UBERON_0002103
visual system	visual system	UBERON	0002104	http://purl.obolibrary.org/obo/UBERON_0002104
vestibulo-auditory system	vestibulo-auditory system	UBERON	0002105	http://purl.obolibrary.org/obo/UBERON_0002105
spleen	spleen	UBERON	0002106	http://purl.obolibrary.org/obo/UBERON_0002106
liver	liver	UBERON	0002107	http://purl.obolibrary.org/obo/UBERON_0002107
small intestine	small intestine	UBERON	0002108	http://purl.obolibrary.org/obo/UBERON_0002108
pair of nares	pair of nares	UBERON	0002109	http://purl.obolibrary.org/obo/UBERON_0002109
gall bladder	gall bladder	UBERON	0002110	http://purl.obolibrary.org/obo/UBERON_0002110
artery smooth muscle tissue	artery smooth muscle tissue	UBERON	0002111	http://purl.obolibrary.org/obo/UBERON_0002111
smooth muscle of esophagus	smooth muscle of esophagus	UBERON	0002112	http://purl.obolibrary.org/obo/UBERON_0002112
kidney	kidney	UBERON	0002113	http://purl.obolibrary.org/obo/UBERON_0002113
duodenum	duodenum	UBERON	0002114	http://purl.obolibrary.org/obo/UBERON_0002114
jejunum	jejunum	UBERON	0002115	http://purl.obolibrary.org/obo/UBERON_0002115
ileum	ileum	UBERON	0002116	http://purl.obolibrary.org/obo/UBERON_0002116
right ovary	right ovary	UBERON	0002118	http://purl.obolibrary.org/obo/UBERON_0002118
left ovary	left ovary	UBERON	0002119	http://purl.obolibrary.org/obo/UBERON_0002119
