value_en	description_en	codesystem	code	description_code	iri
Ion Torrent platform	Ion Torrent platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0002683
Roche LS454 platform	Roche LS454 platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0001926
SOLiD sequening platform	SOLiD sequening platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0002684
Complete Genomics platform	Complete Genomics platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0001924
Illumina platform	Illumina platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0001923
Helicos platform	Helicos platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0002682
PacBio platform	PacBio platform	A sequencing plaform (brand) is a name of a company that produces sequencer equipment.	GENEPIO	0001927
